annee;audience;region;name;age;taille;couleur_cheveux;longueur_cheveux;couleur_yeux;couleur_peau;rang;laureat_culture_generale;est_tombee;image
2009;8,1;Albigeois Midi-Pyrénées;Chloé Mortaud;19;180;Bruns;Mi-longs;Noirs;Métisse;1.0;;0;https://static.wikia.nocookie.net/miss/images/c/c3/Chlo%C3%A9_Mortaud.jpg/revision/latest?cb=20171220094304&path-prefix=fr
2009;8,1;Alsace;Carole Weyrich;22;177;Blonds;Longs;Bleus;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/3/3a/Alsace_2008.jpg/revision/latest?cb=20150712174510&path-prefix=fr
2009;8,1;Aquitaine;Anna Nieto;20;174;Chatains;Mi-longs;Gris;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/a/a0/Aquitaine_2008.jpg/revision/latest?cb=20150712174526&path-prefix=fr
2009;8,1;Artois-Hainaut;Anne-Sophie Sevrette;20;179;Blonds;Mi-longs;Bleus;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/a/aa/Artois-Hainaut_2008.jpg/revision/latest?cb=20150712174544&path-prefix=fr
2009;8,1;Auvergne;Mélanie Billard;23;173;Bruns;Mi-longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/2/29/Auvergne_2008.jpg/revision/latest?cb=20150712174559&path-prefix=fr
2009;8,1;Berry-Val-de-Loire;Aline Moreau;19;175;Blonds;Mi-longs;Marrons;Blanche;12.0;;0;https://static.wikia.nocookie.net/miss/images/0/0b/Berry-Val-de-Loire_2008.jpg/revision/latest?cb=20150712174613&path-prefix=fr
2009;8,1;Bourgogne;Tiphaine Deschamps;22;175;Bruns;Mi-longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/e/e0/Bourgogne_2008.jpg/revision/latest?cb=20150712174631&path-prefix=fr
2009;8,1;Bretagne;Bianca Taillard;23;176;Bruns;Longs;Marrons;Noire;5.0;;0;https://static.wikia.nocookie.net/miss/images/3/33/Bretagne_2008.jpg/revision/latest?cb=20150712174647&path-prefix=fr
2009;8,1;Champagne-Ardenne;Émilie Colomb;19;172;Bruns;Mi-longs;Bleus;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/c/c0/Champagne-Ardenne_2008.jpg/revision/latest?cb=20150712174702&path-prefix=fr
2009;8,1;Corse;María Santa Lucchinacci;24;177;Blonds;Longs;Bleus;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/b/b4/Corse_2008.jpg/revision/latest?cb=20150712174717&path-prefix=fr
2009;8,1;Côte d'Azur;Audrey Sans;20;175;Blonds;Mi-longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/7/78/C%C3%B4te_d%27Azur_2008.jpg/revision/latest?cb=20150712174732&path-prefix=fr
2009;8,1;Flandre;Éméné Nyamé;19;182;Noirs;Courts;Noirs;Noire;;;0;https://static.wikia.nocookie.net/miss/images/b/b8/Xxjpie10.jpg/revision/latest?cb=20140505154542&path-prefix=fr
2009;8,1;Franche-Comté;Johanne Kervella;23;170;Bruns;Mi-longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/a/af/Franche-Comt%C3%A9_2008.jpg/revision/latest?cb=20150712174907&path-prefix=fr
2009;8,1;Guadeloupe;Rebecca Erivan;18;183;Noirs;Courts;Noirs;Blanche;8.0;;1;https://static.wikia.nocookie.net/miss/images/3/31/Guadeloupe_2008.jpg/revision/latest?cb=20150712174924&path-prefix=fr
2009;8,1;Guyane;Carmen Prince;20;172;Noirs;Courts;Noirs;Métisse;;;0;https://static.wikia.nocookie.net/miss/images/d/d3/Guyane_2008.jpg/revision/latest?cb=20150712174938&path-prefix=fr
