annee,region,age,taille,couleur_cheveux,longueur_cheveux,couleur_yeux,couleur_peau,laureat_culture_generale,est_tombee,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12
2009,Albigeois Midi-Pyrénées,19,180,Bruns,Mi-longs,Noirs,Métisse,,0,1,1,1,1,1,1,1,1,1,1,1,1
2009,Alsace,22,177,Blonds,Longs,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Aquitaine,20,174,Chatains,Mi-longs,Gris,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Artois-Hainaut,20,179,Blonds,Mi-longs,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Auvergne,23,173,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Berry-Val-de-Loire,19,175,Blonds,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,Bourgogne,22,175,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Bretagne,23,176,Bruns,Longs,Marrons,Noire,,0,0,0,0,0,1,1,1,1,1,1,1,1
2009,Champagne-Ardenne,19,172,Bruns,Mi-longs,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Corse,24,177,Blonds,Longs,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Côte d Azur,20,175,Blonds,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Flandre,19,182,Noirs,Courts,Noirs,Noire,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Franche-Comté,23,170,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Guadeloupe,18,183,Noirs,Courts,Noirs,Blanche,,1,0,0,0,0,0,0,0,1,1,1,1,1
2009,Guyane,20,172,Noirs,Courts,Noirs,Métisse,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Île-de-France,20,171,Blonds,Courts,Gris,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Languedoc-Roussillon,22,176,Noirs,Mi-longs,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Limousin,18,179,Bruns,Mi-longs,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,1,1
2009,Loire-Forez,20,171,Noirs,Mi-longs,Noirs,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Lorraine,21,179,Bruns,Longs,Bleus,Blanche,,0,0,1,1,1,1,1,1,1,1,1,1,1
2009,Martinique,18,177,Bruns,Mi-longs,Noirs,Noire,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Mayotte,20,180,Noirs,Courts,Noirs,Métisse,,0,0,0,0,1,1,1,1,1,1,1,1,1
2009,Normandie,23,180,Blonds,Mi-longs,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,1,1,1,1
2009,Nouvelle-Calédonie,20,175,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Orléanais,19,175,Chatains,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Paris,19,171,Noirs,Longs,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Pays de la Loire,21,174,Bruns,Mi-longs,Noirs,Blanche,,0,0,0,1,1,1,1,1,1,1,1,1,1
2009,Pays de Savoie,19,179,Noirs,Courts,Marrons,Métisse,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Picardie,22,170,Blonds,Courts,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Poitou-Charentes,19,171,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,1,1,1,1,1,1,1
2009,Provence,19,171,Bruns,Mi-longs,Marrons,Métisse,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Quercy-Rouergue,18,175,Chatains,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Réunion,22,172,Noirs,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,1,1,1
2009,Rhône-Alpes,18,174,Blonds,Mi-longs,Bleus,Blanche,,0,0,0,0,0,0,0,1,1,1,1,1,1
2009,Saint-Pierre-et-Miquelon,22,170,Bruns,Courts,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Tahiti,20,170,Chatains,Longs,Noirs,Métisse,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Albigeois Midi-Pyrénées,21,173,Bruns,Mi-longs,Verts,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Alsace,19,172,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Aquitaine,21,177,Bruns,Mi-longs,Verts,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Artois-Hainaut,21,179,Blonds,Mi-longs,Gris,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Auvergne,19,173,Bruns,Longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Béarn-Gascogne,20,172,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Berry-Val-de-Loire,18,172,Bruns,Courts,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Bourgogne,19,175,Blonds,Courts,Gris,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Bretagne,19,178,Bruns,Longs,Gris,Blanche,,0,0,0,1,1,1,1,1,1,1,1,1,1
2010,Champagne-Ardenne,22,172,Chatains,Courts,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,1,1,1
2010,Corse,21,177,Bruns,Longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Côte d Azur,20,172,Chatains,Longs,Gris,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,Flandre,20,175,Blonds,Longs,Verts,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Franche-Comté,19,180,Bruns,Courts,Marrons,Noire,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Guadeloupe,20,178,Bruns,Courts,Marrons,Noire,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Guyane,20,179,Bruns,Mi-longs,Gris,Noire,,0,0,0,0,0,0,0,1,1,1,1,1,1
2010,Île-de-France,20,178,Blonds,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Languedoc,18,173,Noirs,Mi-longs,Noirs,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Limousin,18,177,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,1,1,1,1
2010,Loire-Forez,23,178,Noirs,Courts,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Lorraine,22,174,Blonds,Courts,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Martinique,20,173,Bruns,Courts,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Mayotte,19,174,Bruns,Courts,Noirs,Métisse,,0,0,0,0,0,0,0,0,1,1,1,1,1
2010,Normandie,22,176,Bruns,Longs,Bleus,Blanche,,0,1,1,1,1,1,1,1,1,1,1,1,1
2010,Orléanais,18,171,Chatains,Longs,Bleus,Blanche,,0,0,0,0,0,0,1,1,1,1,1,1,1
2010,Paris,23,175,Roux,Longs,Verts,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Pays de la Loire,23,170,Bruns,Mi-longs,Bleus,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Pays de Savoie,22,177,Noirs,Mi-longs,Verts,Blanche,,0,0,0,0,0,0,0,0,0,0,0,1,1
2010,Picardie,19,172,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Poitou-Charentes,23,173,Bruns,Mi-longs,Marrons,Métisse,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Provence,21,176,Bruns,Longs,Gris,Blanche,,0,0,0,0,1,1,1,1,1,1,1,1,1
2010,Quercy-Rouergue,19,179,Bruns,Mi-longs,Noirs,Métisse,,0,0,0,0,0,1,1,1,1,1,1,1,1
2010,Réunion,18,182,Noirs,Mi-longs,Noirs,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Rhône-Alpes,23,174,Blonds,Mi-longs,Bleus,Blanche,,0,0,1,1,1,1,1,1,1,1,1,1,1
2010,Roussillon,22,170,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Saint-Pierre-et-Miquelon,18,180,Bruns,Mi-longs,Marrons,Blanche,,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Tahiti,20,177,Bruns,Mi-longs,Marrons,Métisse,,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Alsace,19,179,Noirs,Longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Aquitaine,20,174,Blonds,Longs,Gris,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Auvergne,19,176,Chatains,Longs,Verts,Blanche,0.0,0,0,0,1,1,1,1,1,1,1,1,1,1
2011,Bourgogne,23,173,Chatains,Courts,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Bretagne,19,179,Chatains,Longs,Marrons,Blanche,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1
2011,Centre,23,170,Blonds,Longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Champagne-Ardenne,19,170,Chatains,Longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Corse,23,176,Bruns,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1
2011,Côte d Azur,22,177,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,Franche-Comté,22,170,Noirs,Longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Guadeloupe,21,173,Bruns,Courts,Noirs,Noire,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Guyane,18,174,Noirs,Mi-longs,Marrons,Métisse,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Île-de-France,22,170,Noirs,Longs,Noirs,Métisse,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1
2011,Languedoc,22,171,Bruns,Longs,Gris,Blanche,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1
2011,Limousin,24,172,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Lorraine,19,170,Chatains,Courts,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Martinique,23,175,Bruns,Longs,Noirs,Métisse,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1
2011,Mayotte,19,170,Bruns,Courts,Noirs,Métisse,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Midi-Pyrénées,24,173,Blonds,Longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Nord-Pas-de-Calais,22,171,Blonds,Courts,Gris,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Normandie,22,170,Chatains,Mi-longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
2011,Nouvelle-Calédonie,21,172,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Orléanais,20,176,Bruns,Courts,Marrons,Noire,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1
2011,Pays de la Loire,22,174,Bruns,Courts,Noirs,Noire,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Pays de Savoie,22,176,Bruns,Mi-longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Picardie,20,177,Blonds,Longs,Gris,Blanche,0.0,0,0,0,0,1,1,1,1,1,1,1,1,1
2011,Poitou-Charentes,21,178,Chatains,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Provence,18,171,Noirs,Longs,Noirs,Métisse,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1
2011,Réunion,18,172,Noirs,Mi-longs,Noirs,Noire,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Rhône-Alpes,21,176,Blonds,Mi-longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Roussillon,22,177,Bruns,Longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1
2011,Saint-Pierre-et-Miquelon,18,173,Bruns,Mi-longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Tahiti,21,177,Noirs,Mi-longs,Noirs,Métisse,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Alsace,19,175,Roux,Longs,Verts,Blanche,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1
